"id","source","year","journal","author","title","doi","prereg_link","notes"
"1042","liu",2023,"Journal Of Experimental Social Psychology","Macpherson, M.C.; Miles, L.K.","Synchrony and mental health: Investigating the negative association between interpersonal coordination and subclinical variation in autism and social anxiety","10.1016/j.jesp.2022.104439","https://osf.io/nqat5/registrations",""
"4MHRFYCL","new",2025,"Journal Of Experimental Social Psychology","Weinstein, Netta; Itzchakov, Guy","Empathic listening satisfies speakers' psychological needs and well-being, but doesn't directly deepen solitude experiences: A registered report☆","10.1016/j.jesp.2024.104716","https://osf.io/h32wy/files/s78at?view_only=6ba9591870f14322ac81b97586146a4a",""
"1194","liu",2022,"Psychonomic Bulletin & Review","Henderson, Emma L.; Westwood, Samuel J.; Simons, Daniel J.","A reproducible systematic map of research on the illusory truth effect","10.3758/s13423-021-01995-w","https://osf.io/ar4hm/overview",""
"1078","liu",2022,"Cortex","Teichmann, Lina; Moerel, Denise; Rich, Anina N.; Baker, Chris I.","The nature of neural object representations during dynamic occlusion","10.1016/j.cortex.2022.04.009","https://osf.io/tp2ad/overview",""
"PBKP9265","new",2025,"Cortex","Dymarska, Agata; Connell, Louise","Sensorimotor effects in surprise word memory-A registered report","10.1016/j.cortex.2025.03.010","https://osf.io/ck5bg/overview",""
"8M4WKBMC","new",2025,"Psychology & Health","Sezer, Berke; Ntoumanis, Nikos; Riddell, Hugh; Gucciardi, Daniel F.","An experimental investigation of daily mental contrasting with implementation intentions and goal motives in reducing bedtime procrastination: a registered report","10.1080/08870446.2025.2491593","https://osf.io/yvm9s/overview",""
"1209","liu",2019,"Attention, Perception, And Psychophysics","Brown, Violet A.; Strand, Julia F.","Paying attention to audiovisual speech: Do incongruent stimuli incur greater costs?","10.3758/s13414-019-01772-x","https://osf.io/8t7an/overview",""
"1104","liu",2024,"Psychology Of Addictive Behaviors","Dora, Jonas; Kuczynski, Adam M.; Schultz, Megan E.; Acuff, Samuel F.; Murphy, James G.; King, Kevin M.","An experimental investigation into the effect of negative affect on the behavioral economic demand for alcohol","10.1037/adb0000984","https://osf.io/strbv/files/c39up","Stage 1 not formally registered, but there is a briefer prereg"
"QUWN7JXK","new",2026,"Memory","Pillai, Raunak M.; Arshad, Suha; Fazio, Lisa K.","How prior knowledge and statement truth affect retrieval experiences over time","10.1080/09658211.2025.2584452","https://osf.io/9sr47/files/v9a4e","not formally registered, authors mention replicating a phenomenon but not a direct replication"
"VN38WDXX","new",2025,"Nature Human Behaviour","Buchanan, Erin M.; Cuccolo, Kelly; Heyman, Tom; van Berkel, Niels; Coles, Nicholas A.; Iyer, Aishwarya; Peters, Kim; van't Veer, A. E.; Montefinese, Maria; Maxwell, Nicholas P.; Taylor, Jack E.; Valentine, Kathrene D.; Arriaga, Patricia; Barzykowski, Krystian; Boucher, Leanne; Collins, W. Matthew; Vaidis, David C.; Aczel, Balazs; Al-Hoorie, Ali H.; Ambrosini, Ettore; Besson, Theo; Burin, Debora I.; Butt, Muhammad Mussaffa; Clarke, A. J. Benjamin; Daryani, Yalda; El-Dakhs, Dina Abdel Salam; Elsherif, Mahmoud M.; Fernandez-Lopez, Maria; Ferreira, Paulo Roberto dos Santos; Freitag, Raquel Meister Ko; Gattei, Carolina A.; Godbersen, Hendrik; Grim, Philip A.; Halama, Peter; Havan, Patrik; Irrazabal, Natalia C.; Isloi, Chris; Iversen, Rebecca Kvisler; Julliard, Yoann; Karaaslan, Aslan; Kohut, Michal; Kohutova, Veronika; Kos, Julija; Kosachenko, Alexandra I.; de Lima, Tiago Jesse Souza; Mak, Matthew H. C.; Manouilidou, Christina; Marciaga, Leonardo A.; Melinna, Xiaolin Melinna; Miranda, Jacob Francisco; Morvinski, Coby; Muppoor, Aishwarya; Muejdeci, F. Elif; Nielsen, Yngwie A.; Oliveros, Juan Carlos; Onic, Jas; Papadatou-Pastou, Marietta; Patel, Ishani; Pavlovic, Zoran; Pazon, Blaz; Pfuhl, Gerit; Pronizius, Ekaterina; Roettger, Timo B.; Ronderos, Camilo R.; Ruiz-Fernandez, Susana; Senderecka, Magdalena; Solak, Caglar; Stueckler, Anna; Szekely-Copindean, Raluca D.; Taboh, Anali R.; Theriault, Remi; Tran, Ulrich S.; Trecca, Fabio; Ulloa, Jose Luis; Varga, Marton A.; Verheyen, Steven; Pavlovic, Tijana Vesic; Viviani, Giada; Wang, Nan; Zivna, Kristyna; Yun, Chen Chu; Clark, Oliver James; Acar, Oguz A.; Adamkovic, Matus; Agnoletti, Giulia; Akil, Atakan M.; Alsuhaibani, Zainab; Amenta, Simona; Ananyeva, Olga A.; Andreychik, Michael; Angele, Bernhard; Arias Quinones, Danna Catalina; Arinze, Nwadiogo Chisom; Askelund, Adrian Dahl; Baker, Bradley J.; Baskin, Ernest; Batalha, Luisa; Batres, Carlota; Beato, Maria Soledad; Becker, Manuel; Becker, Maja; Behnke, Maciej; Blaison, Christophe; Borghi, Anna M.; Brandstaetter, Eduard; Buczny, Jacek; Budak, Nesrin; Cabana, Alvaro; Cai, Zhenguang G.; Canessa, Enrique C.; Cavdan, Muege; Cecchetti, Luca; Chaigneau, Sergio E.; Chang, Feria X. W.; Chartier, Christopher R.; Chen, Sau-Chin; Cherniaeva, Elena; Christiansen, Morten H.; Chuan-Peng, Hu; Chwilkowska, Patrycja; Comesana, Montserrat; Cong, Chin Wen; Cowan, Casey; Dandeneau, Stephane Daniel; David, Oana A.; Davis, William E.; Demirag Burak, Elif Gizem; Dixson, Barnaby James Wyld; Du, Hongfei; Duclos, Rod; Duyck, Wouter; Efimova, Liudmila A.; Egan, Ciara; Era, Vanessa; Evans, Thomas R.; Exner, Anna; Feldman, Gilad; Fellnhofer, Katharina; Fini, Chiara; Fisher, Sarah E.; Flowe, Heather D.; Garrido-Vasquez, Patricia; Gatti, Daniele; Geller, Jason; Giannouli, Vaitsa; Gorokhova, Anna Sergeevna; Griener, Lindsay M.; Grigoryev, Dmitry; Grossmann, Igor; Ghasemi, Hesam; Handjaras, Giacomo; Hauspie, Cathy; He, Zhiran; Heilman, Renata M.; Heydari, Amirmahdi; Hine, Alanna M.; Hoyer, Karlijn; Hryniszak, Weronika; Hsiao, Janet Hui-wen; Huang, Guanxiong; Ihaya, Keiko; Ilczuk, Ewa; Ishii, Tatsunori; Dumbrava, Andrei; Jankowiak, Katarzyna; Jiang, Xiaoming; Johnson, David C.; Jonczyk, Rafal; Jaervikivi, Juhani; Kaczer, Laura; Kamermans, Kevin Leander; Karl, Johannes A.; Karner, Alexander; Kacmar, Pavol; Keech, Jacob J.; Kim, M. Justin; Korbmacher, Max; Kostorz, Kathrin; Kowal, Marta; Kratochvil, Tomas; Kunisato, Yoshihiko; Kuzminska, Anna O.; Koertvelyessy, Livia; Koese, Fatma Ebru; Koester, Massimo; Kekus, Magdalena; Labusch, Melanie; Lamm, Claus; Lau, Chaak Ming; Laurino, Julieta; Law, Wilbert; Lettieri, Giada; Levitan, Carmel A.; Lu, Jackson G.; MacPherson, Sarah E.; Malinakova, Klara; Manriquez-Robles, Diego; Marchant, Nicolas; Marelli, Marco; Martinez, Martin; Matthews, Molly F.; Mattiassi, Alan D. A.; Mattoli-Sanchez, Josefina; Mazzuca, Claudia; McGovern, David P.; Meier, Zdenek; Melinscak, Filip; Misiak, Michal; Monteiro, Luis Carlos Pereira; Moreau, David; Moreno, Sebastian; Mulgrew, Kate E.; Muller, Dominique; Nagy, Tamas; Naranowicz, Marcin; Ndukaihe, Izuchukwu L. G.; Neta, Maital; Novak, Lukas; Ogbonnaya, Chisom Esther; Paek, Jessica Jee Won; Paltoglou, Aspasia Eleni; Parada, Francisco J.; Parker, Adam J.; Paruzel-Czachura, Mariola; Pavlov, Yuri G.; Paydarfard, Saeed; Pegler, Dominik; Peker, Mehmet; Perea, Manuel; Pfattheicher, Stefan; Protzko, John; Prusova, Irina Sergeevna; Pypno-Blajda, Katarzyna; Qiu, Zhuang; Reips, Ulf-Dietrich; Ribeiro, Gianni; Rinaldi, Luca; Roberts, S. Craig; Roembke, Tanja C.; Romanova, Marina O.; Ross, Robert M.; Roeer, Jan Philipp; Rizaoglu, Filiz; Saari, Toni T.; Sampaolo, Erika; Santos, Anabela Caetano; Saricicek, F. Caglar; Sasaki, Kyoshiro; Scharnowski, Frank; Schmidt, Kathleen; Sepehri, Amir; Serce, Halid O.; Sevincer, A. Timur; Siew, Cynthia S. Q.; Simonetti, Matilde Ellen; Sirota, Miroslav; Sorokowska, Agnieszka; Sorokowski, Piotr; Stephen, Ian D.; Stevens, Laura M.; Stewart, Suzanne L. K.; Steyrl, David; Stieger, Stefan; Studzinska, Anna; Suarez, Mar; Szala, Anna; Szmalec, Arnaud; Sznycer, Daniel; Szumowska, Ewa; Soeylemez, Sinem; Soeylemez, Bahadir; Takashima, Kaito; Tamnes, Christian K.; Tan, Joel C. R.; Tang, Chengxiang; Tavel, Peter; Tejada, Julian; Thompson, Benjamin C.; Tiernan, Jake G.; Torres-Munoz, Vicente; Touloumakos, Anna K.; Tremoliere, Bastien; Tschense, Monika; Tuerkan, Belguezar Nilay; Vadillo, Miguel A.; Vannucci, Caterina; Varnum, Michael E. W.; Vasilev, Martin R.; Vaughn, Leigh Ann; Verkampt, Fanny; Villar, Liliana M.; Wallot, Sebastian; Wang, Lijun; Wang, Ke; Williams, Glenn Patrick; Willinger, David; Wolfe, Kelly; Wormley, Alexandra S.; Yamada, Yuki; Yang, Yunkai; Zhou, Yuwei; Zhang, Mengfan; Zheng, Wang; Zheng, Yueyuan; Zhou, Chenghao; Zidkova, Radka; Zumbrunn, Nina Meret; Coker, Ogeday; Coksan, Sami; Oner, Sezin; Ozdogru, Asil Ali; Sahin, Seda Merve; Kasanov, Dauren; Arvanitis, Alexios; Brick, Cameron; Colloff, Melissa F.; Gallyamova, Albina; Koch, Christopher; Ropovik, Ivan; Zhang, Yucheng; Zhou, Xingxing; Patel, Sneh; Suchow, Jordan W.; Lewis, Savannah C.","Measuring the semantic priming effect across many languages","10.1038/s41562-025-02254-x","https://osf.io/u5bp6/overview",""
"4KGLBKIK","new",2025,"Journal Of Experimental Social Psychology","Amarasekera, Anurada U.; Travis, Kelton L.; Castaneto, Kristina K.; Cash, Tiara A.; Aknin, Lara B.","What types of gratitude expressions promote prosocial behavior?: A registered report","10.1016/j.jesp.2025.104805","https://osf.io/tacf8/files/nhc4w","Stage 1 not formally registered, but each study was registered on aspredicted"
"B8BNDNY3","new",2024,"Psychology Of Sport And Exercise","Brito, Henrique; Lopes, Henrique; de Carvalho, Margarida Vaz; Carrilho, Daniel; Carvalho, Adriano; Araujo, Duarte","The effects of nature-based vs. indoor settings on the adaptability, performance and affect of calisthenics exercisers. A registered report","10.1016/j.psychsport.2024.102626","https://clinicaltrials.gov/study/NCT05090501?id=NCT05090501&viewType=Card&rank=1",""
"7ZL7SQSN","new",2024,"Cortex","Chenot, Quentin; Hamery, Caroline; Truninger, Moritz; Langer, Nicolas; De Boissezon, Xavier; Scannella, Sebastien","Investigating the relationship between resting-state EEG microstates and executive functions: A null finding","10.1016/j.cortex.2024.05.019","https://osf.io/v2xpy/overview",""
